firstName,lastName,reason,reasonDetail,sessionDate,transferredVoteTo,source
"Мирлан Исакбекович","Бакиров","В командировке","Республика Тайвань","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Ташполот","Балтабаев","По состоянию здоровья",,"15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Элмурат Авдувапович","Обдунов","По состоянию здоровья","","15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Ахматбек Келдибекович","Келдибеков","По уважительной причине",,"15-16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Карганбек Садыкович","Самаков","В командировке","г.С-Петербург","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Олег Леонидович","Домшенко","В командировке","г.С-Петербург","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Курманбек Эргешович","Осмонов","В командировке","г.С-Петербург","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Дастан Далабайевич","Бекешев","В командировке","г.С-Петербург","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Нуржан Нуралиевна","Бадыкеева","В командировке","г.С-Петербург","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Максат Эсенович","Сабиров","В командировке","г.С-Петербург","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Абдыжапар Гапырович","Бекматов","В командировке","г.С-Петербург","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Каныбек Капашович","Иманалиев","В командировке","г.С-Петербург","16.04.2015г.","Ф.Кулову","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Роза Корчубековна","Акназарова","В командировке","г.С-Петербург","16.04.2015г.","М.Сабирову","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Надира Азимовна","Нарматова","На Форуме женщин-депутатов","Баткенская обл.","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Айнуру Тойчиевна","Алтыбаева","На Форуме женщин-депутатов","Баткенская обл.","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Майрамкул Бекчороевна","Тиленчиева","В командировке","Баткенская обл.","16.04.2015г.","М.Расулову","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Акылбек Шакирович","Султанов","В командировке","Ошская обл.","16.04.2015г.","-","http://kenesh.kg/RU/Articles/29331-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_1516aprelya_2015_goda_.aspx"
"Элмурат Абдувапович","Обдунов","По состоянию здоровья",,"08-09.04.2015г.","-","http://kenesh.kg/RU/Articles/29188-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0809aprelya_2015_goda_.aspx"
"Болот Абыкеевич","Сулайманкулов","По состоянию здоровья","","08-09.04.2015г.","М.Сабирову","http://kenesh.kg/RU/Articles/29188-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0809aprelya_2015_goda_.aspx"
"Кантемир Зулумович","Мурзабеков","По состоянию здоровья","","08-09.04.2015г.","Д.Джумабекову","http://kenesh.kg/RU/Articles/29188-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0809aprelya_2015_goda_.aspx"
"Мамытбай Маткабылович","Салымбеков","По состоянию здоровья","","08-09.04.2015г.","Ч.Турсунбекову","http://kenesh.kg/RU/Articles/29188-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0809aprelya_2015_goda_.aspx"
"Турсунтай Аблизович","Салимов","По состоянию здоровья","","08-09.04.2015г.","Э.Сакебаеву","http://kenesh.kg/RU/Articles/29188-Svedeniya_ob_uchastii_deputatov_v_zasedaniyax_ZHK_0809aprelya_2015_goda_.aspx"
